Comments,Label
انجینئر صاحب آپ اپنا کام جاری رکھیں یہ جو مولوی بکواس کر رہے ہیں کرنے دیں یہ پیسہ کمانے کے لیے مجرہ بی کر سکتے ہیں,offensive
یہ۔جو۔لال۔پگڑی۔ہے۔یہ۔خباست۔کی۔نشانی۔ہے۔کیوں۔کہ۔خبیس۔۔بندے۔ہی۔ایسے۔بکواس۔کرتے۔ھیں,hate
صحابہ کرام کا ذکر جس بد تمیزی سے بد بخت علی مرزا کرتا ہے اس کا اثر یہ ہوا  ہے کہ مرزا اب رافضیت کی طرف چلا گیا ہے۔,offensive
"یہ بکواس کناں جس نے سر پر لال کپڑا لپیٹا ہوا ہے، یہ ہے کون؟
مجھے تو کوئی بھانڈ سا محسوس ہوتا ہے",offensive
دلائل نہ ہوں تو بس یہ کچھ ہوتا ہے۔ پاگل ہو گئے ہیں۔,offensive
اپنے بد تمیزانہ انداز میں۔,offensive
بد اخلاق بد زبان انتہائ بد تمیز شخص,offensive
ممبر رسولِ پر کھڑا ہوکر بکواسیات اگلنے والا ایکٹر بندر علی بھائی پر جھپٹ رہا ہے۔۔,offensive
یہ جو اتنی بکواس بریلوی ملا کر رہا ہے یہ ہے ان کے ولیوں کی تعلیمات اور تربیت,offensive
جس مے شرم ھوتی ھے اسکو غصہ اتاھے بے غیرت کو غصہ نھی اتا,offensive
"الحمد للہ یہ اشو جس نے بھی اٹھایا اس نے بہت سے اھلسنت بھائیوں کی اھلبیت ع کی جانب ھدایت کا راستہ کھول دیا.
(واللہ یھدی من یشاء الی صراط مستقیم)
سورہ نور آیت چارچھ",normal
"سورۃ یوسف پڑھ لیں، دبر اور قبل کی سمجھ آ جائے گی.",normal
سورہ یوسف میں بھی لفظ دبر کا استعمال ہوا ہے مولانا کچھ اور سوچ رہے ہیں,normal
تجھے معصوم بچوں کی معذور لوگوں کی بیماروں کی آہ لگے گی,offensive
کمینہ فریادی,offensive
"الا انا اولیا اللہ لاخوف علیہم ولا ھم یحزنون

خبردار!  اولیاء اللہ میرے دوست ہیں ان کو نہ کوئ خوف ہے اور نہ ہی وہ محشر میں غمگین ہوں گے (القرآن سورہ یونس آیت چھدو)

جو شخص میرے ولی کے ساتھ دشمنی یا بغاوت کرتا ہے تو اللہ اس سے اعلان جنگ کرتا ہے

(حدیث قدسی)",normal
حق خطیب کا پاگل خانہ,offensive
"جب جاہل ہارنے لگے تو بحث و بکواس ہی کرتا ہے
جاہل انسان حق خطیب",offensive
خطیب میکپ بچارا عوام کے سامنے ننگا ہوگیا ہےجو ولی ہوتا ہے وہ کل اور لوہے کی چین نہیں نکالتا جو چور ہوتا ہے وہ لوہے جیسے ایٹم نکالتا ہے,offensive
"حق خطیب فراڈیا نے اس ویڈیو کلپ سے ثابت کردیا کہ وہ دنیا کا بزدل ترین انسان ہے۔

انشاءاللّٰه جلد حق خطیب فراڈیا سلاخوں کے پیچھے ہوگا 

اقرار بھائی قدم بڑھاؤ ہم تمہارے ساتھ ہیں",hate
اقرار بھائی آپ کو سلام اس مکار کو بے نقاب کرنے کے لے,offensive
ان کو انکے فالتوں کتوں نے اور ننگا کیا جو فظول بک بک کررھے ھیں,offensive
"یہ صحافت نہیں ، میرے خیال میں جہاد کر رہے ہیں اقرار بھائی ۔ پاکستان سے ایسے گندے عناصر صاف کرنے کے لیے انکا ساتھ دینا چاہئے ۔",offensive
اس عوام کو بھی اللہ تعالی نے ایک ہدایت دے ہے اور اس طرح کی جو بے غیرت لوگ ہیں جو سید دو کا نام ب**** کر رہا ہے تو اللہ تعالی ان کو بیڑا غرق کر دے,hate
سرکار فراڈ سمیت سب ہین یک ہیں۔۔۔اس علاقے اور گردونواح کے لوگ بہت بڑے ٹھگ چور ہیں۔زیادہ تر,hate
ہم نے اتنی دیر دیکھ کر ٹائم ضائع کیا ہے حق خطیب ادھر ادھر کی سناتا رہا سورت نییں سنا سکا اور غیرجانبردار مریض ٹھیک نہ کر سکا,offensive
زندہ باد اقرار بھائی اس جوکر جھوٹے خطیب کو گندا کرنے پہ,offensive
چور ہے حق خطیب چور,offensive
حکومت کو ان سب کو گرفتار کر کے جیل میں ڈال دینا چاہیے اور اقرار حسین کو ایوارڈ سے نوازنا چاہیے ۔,offensive
بونگیان نہ مارو ایک آیت تو سناو,offensive
ارے پاگل انسان شَفا نہیں ہوتا شِفا ہوتا ہے۔ جعلی پیر,offensive
بتمیز  بے شرم,offensive
مرزا جہلمی سور  اقرار رافضی کے حق میں بھونکا ؟ دونوں کا تعلق اہل حق سے نہیں   حق خظیب اور جنرل فیض حمید نجفی کا یا ر اور دوسرا   اقرار الطاف حسین  بھتہ خوی کا  دلہ ر  ادھا  رافضی دوعلا,offensive
جیواقر الحسن اتنے ہزاروں آدمیوں اکیلا بات کر رہے ہو ۔شیر ہے اور الحسن ۔اتنا بڑا پیر ہزار بار پوچھا قرآن کی کوہی دو یا ایک ہی سورت سنا دو لکین اور باتوں کی طرف چلا جاتا تھا,offensive
بیٹا حق خطیب تمہاری عورتیں ناٹک کر رہی ہیں ڈرامے کر رہی ہیں تو پھر ٹھیک تو ہونا ہی ہے تمہارے انگلی کے اشارے سے جھوٹے مکار اگر سچے ہو تو اقرار الحسن کی طرح اتنے لوگوں کے بیچ مقابلہ کر کے دکھاو,offensive
بڑا بے شرم ہے حق خطیب,offensive
نہ ہسپتال جانے کو تیار نہ علما کا تعیںن کرنے کو تیار نہ وظیفہ بتانے کو تیار نہ قرآن کی کوئی ایک سنانے کو تیار اور آخر میں اقرار ہار گیا اور یہ نام نہاد پیر جیت گیا شرم آنی چاہیے اگر یہ ولی نہیں ہے تو کرامت کا کیا تعلق ہے اس سے جاہل لوگ دین کا لبادہ اوڑ کہ اس کی صف میں کھڑے ہیں بے غیرتی کی بھی انتہا ہوتی ہے  ہر پھونک مارنے والا ولی ہوتا تو آج یہ سب کچھ ہندو بھی کر رہے ہیں ہندوستان میں,offensive
یار اس جاہل اور بے غیرت یق حبیب کا اصل نام کیا ہے,offensive
بکواسات,offensive
تجھے تو ننگا کردیا لیکن بے غیرت آپ اور آپ کے چیلوں کو کوئ فرق نہیں پڑ رہا ہے یہ سارے کومنٹس پڑھ کر بھی۔,offensive
اقرار الحسن حق پہ ہے اہ چور ہے,offensive
کنجری کے بچے کو ہاسپٹل میں لے کر جاؤ تا کہ تمام بیمار ٹھیک ہو جائیں گے,offensive
چور کا اداد شور ماچانہ  ہوں تاہے اقرار خسین ذیداباد,offensive
"یہ ویڈیو دیکھ کر اندازہ ہوتا ہے کہ ہماری عوام کتنی جاہل ہے. انڈیا میں بھی ایک اس طرح کا ڈرامہ مشہور ہے.دھیریندر کرشنا شاستری، جو باگیشور دھام سرکار کے نام سے مشہور ہیں، کے حامیوں کا دعویٰ ہے کہ ان کے پاس الہی طاقتیں ہیں اور وہ بیماروں کو ٹھیک کر سکتے ہیں، جن بھوتوں میں مبتلا لوگوں کو ٹھیک کر سکتے ہیں اور کاروبار اور مالی مسائل سے نمٹنے میں لوگوں کی مدد کر سکتے ہیں",offensive
صاف بات ھے غیر جانبدار مریض کو ٹھیک کرو بات ختم  فضول بھث کر رھا ھے پاگل بیر,offensive
سور سرکار ہرام کی پیدائش سور خطیب,offensive
یہ اس خطیب کا کاروبار ہے لوگوں کو پاگل بناتا ہے,offensive
بد نظمی نے  ثابت کردیا کےسچاکون ہے اور جھوٹاکون ہے سید اور غلام میں فرق ہوتا ہے میں الحمدللہ اہلسنّت سےتعلق رکھتا ہوں خطیب نے ثابت کردیا ہے کےہم غلط ہیں ہمارے مریض گئے ہیں وہاں سوائے ایمان ٹائم اور پیسے خراب کرنے کے کچھ حاصل نہیں ہوا سید زنداباد,offensive
یک خطیب ہے جاہل خطیب ہے بے شرم ہے,offensive
يہ تو خدائی دعویٰ کرنےوالاجھوٹاپيرھے,offensive
يہ پيرجھوٹااور ڈرامے باز عورتیں اس کے پاس ہیں,offensive
"پاگل خطیب کہی کا،ماحول کو اتنا خراب کرکے رکھا۔",offensive
بے شرم حق خطیب,offensive
"سچی بات تو یہ ہے کہ آپ بہروپیا ہیں آپ سید اقرار الحسن کو آل رسول بھی کہ رہے ہیں اور آپ کے سامنے ہی آپ کے مریدین آل رسول کو بکواس کر رہے ہیں ساتھ آپ لوگ ختم نبوت کا دعویٰ بھی کر رہے ہیں آپ کا ضمیر مردہ ہے سید اقرار الحسن بلکل حق پر ہیں اور ساری قوم کا ان کی بہادری کو سلام ہے
جیو اقرار الحسن زندہ آباد اللّٰہ آپ کو سلامت رکھے خوش رہیں آباد رہیں",offensive
جھوٹاپیر آج بے نقاب ھوگیا,offensive
یہ آدمی کیسے لوگوں کو پاگل بنانے ہین,offensive
